CalendarYear,Total_Production,Total_Emissions,Total_Abatement,Average_Profit,Total_Credits,Total_Volume,Average_Price
2025,138735366.0,137005562.9634993,463253.65,15301827.37770049,0.0,0.0,0.0
2026,138735366.0,132505768.3634993,912687.5,15472878.86658938,1213423.1532053743,38733.29719332398,9716.605923576933
2027,151347672.0,144346647.8238174,912687.5,15472878.86658938,1213423.1532053743,0.0,0.0
