step,firm_id,sector,production,emissions,intensity,cash,credits_owned
1,Firm_AL24,Aluminium,87640.0,136415.77953340922,,51485082.75256223,0.0
1,Firm_PE116,Petrochemicals,79020.0,42368.48919484437,,44541340.59333379,0.0
1,Firm_PE97,Petroleum Refining,97999.0,87254.3180410283,,67209912.77619618,0.0
1,Firm_FE88,Fertilizer,64940.0,32416.905270699437,,42437547.60352672,0.0
1,Firm_IR66,Iron & Steel,100956.0,215894.21588043007,,79098659.37392037,0.0
1,Firm_CH54,Chlor-Alkali,65876.0,39032.81774096775,,57094316.29319327,0.0
1,Firm_PU38,Pulp & Paper,46371.0,18388.884573464857,,46961391.56917153,0.0
1,Firm_IR63,Iron & Steel,109127.0,196855.1053065253,,81460521.37169987,0.0
1,Firm_PE93,Petroleum Refining,91428.0,90905.3560661462,,57460140.53177442,0.0
1,Firm_CE13,Cement,80190.0,65512.70347602865,,64767999.46965958,0.0
1,Firm_PE107,Petrochemicals,85449.0,44012.80216203474,,51898929.008001,0.0
1,Firm_IR64,Iron & Steel,126015.0,241890.12168671863,,87368855.2005798,0.0
1,Firm_PE91,Petroleum Refining,107640.0,103158.20947081396,,71616478.18567424,0.0
1,Firm_IR62,Iron & Steel,129759.0,257193.76452988223,,79159926.31807652,0.0
1,Firm_PO130,Power,184773.0,139414.64840215538,,139508520.8225444,0.0
1,Firm_CH52,Chlor-Alkali,62984.0,41600.833552200784,,45115819.823448926,0.0
1,Firm_CE09,Cement,105184.0,83160.78260455816,,31401595.324394908,0.0
1,Firm_PE115,Petrochemicals,86777.0,43648.757438498586,,55989406.70503156,0.0
1,Firm_IR68,Iron & Steel,143006.0,291069.41481740266,,82881863.51585107,0.0
1,Firm_CE15,Cement,84777.0,76709.79831427746,,29551002.958958328,0.0
1,Firm_PO122,Power,153802.0,120767.40263153124,,93395016.77969274,0.0
1,Firm_AL29,Aluminium,76269.0,129201.38542010116,,51472701.89444976,0.0
